ability,possession of the means or skill to do something.
absence,the state of being away from a place or person.
academy,a place of study or training in a special field.
account,a report or description of an event or experience.
accused,a person or group of people who are charged with or on trial for a crime.
achieve,"successfully bring about or reach (a desired objective or result) by effort, skill, or courage."
acquire,buy or obtain (an asset or object) for oneself.
address,the particulars of the place where someone lives or an organization is situated.
advance,move forwards in a purposeful way.
adverse,preventing success or development; harmful; unfavourable.
advised,acting in a way that would be recommended; sensible; wise.
adviser,a person who gives advice in a particular field.
against,in opposition to.
airline,an organization providing a regular public service of air transport on one or more routes.
airport,"a complex of runways and buildings for the take-off, landing, and maintenance of civil aircraft, with facilities for passengers."
alcohol,"a colourless volatile flammable liquid which is produced by the natural fermentation of sugars and is the intoxicating constituent of wine, beer, spirits, and other drinks, and is also used as an industrial solvent and as fuel."
alleged,"said, without proof, to have taken place or to have a specified illegal or undesirable quality."
already,before or by now or the time in question.
analyst,a person who analyzes  or who is skilled in analysis.
ancient,belonging to the very distant past and no longer in existence.
another,used to refer to an additional person or thing of the same type as one already mentioned or known about; one more; a further.
anxiety,distress or uneasiness of mind caused by fear of danger or misfortune: He felt anxiety about the possible loss of his job.
anxious,"feeling or showing worry, nervousness, or unease about something with an uncertain outcome."
anybody,anyone.
applied,(of a subject of study) put to practical use as opposed to being theoretical.
arrange,"put (things) in a neat, attractive, or required order."
arrival,the action or process of arriving.
article,a particular item or object.
assault,make a physical attack on.
assumed,"suppose to be the case, without proof."
assured,confident.
attempt,make an effort to achieve or complete (something difficult).
attract,cause to come to a place or participate in a venture by offering something of interest or advantage.
auction,a public sale in which goods or property are sold to the highest bidder.
average,"a number expressing the central or typical value in a set of data, in particular the mode, median, or (most commonly) the mean, which is calculated by dividing the sum of the values in the set by their number."
backing,help or support.
balance,an even distribution of weight enabling someone or something to remain upright and steady.
banking,the business conducted or services offered by a bank.
barrier,a fence or other obstacle that prevents movement or access.
battery,"a container consisting of one or more cells, in which chemical energy is converted into electricity and used as a source of power."
bearing,a person's way of standing or moving.
beating,a punishment or assault in which the victim is hit repeatedly.
because,for the reason that; since.
bedroom,a room for sleeping in.
believe,"accept that (something) is true, especially without proof."
beneath,extending or directly underneath.
benefit,an advantage or profit gained from something.
besides,in addition to; apart from.
between,"at, into, or across the space separating (two objects or regions)."
billion,"the number equivalent to the product of a thousand and a million; 1,000,000,000 or 109."
binding,"the action of fastening or holding together, or of being linked by chemical bonds."
brother,a man or boy in relation to other sons and daughters of his parents.
brought,take or go with (someone or something) to a place.
burning,on fire.
cabinet,a cupboard with shelves or drawers for storing or displaying articles.
caliber,the quality of someone's character or the level of their ability.
calling,the action or sound of calling.
capable,"having the ability, fitness, or quality necessary to do or achieve a specified thing."
capital,the city or town that functions as the seat of government and administrative centre of a country or region.
captain,the person in command of a ship.
caption,"a title or brief explanation accompanying an illustration, cartoon, or poster."
capture,take into one's possession or control by force.
careful,"making sure of avoiding potential danger, mishap, or harm; cautious."
